model,dataset,k,silhouette
kmeans,RP,16,0.09495282731235681
kmeans,RP,17,0.09283209606260541
kmeans,RP,18,0.09237239502135175
kmeans,RP,19,0.09403758480785865
kmeans,RP,20,0.09389079497415702
kmeans,RP,21,0.09297763797785756
kmeans,RP,22,0.09305955895409945
kmeans,RP,23,0.09352595179725612
kmeans,RP,24,0.09224414870781886
kmeans,RP,25,0.09278564302054684
gmm,RP,2,0.07558673763238906
gmm,RP,3,0.05333292111591212
gmm,RP,4,0.0307247684351938
gmm,RP,5,0.003451768864858266
gmm,RP,6,0.018267149956114337
gmm,RP,7,-0.0032302661771906513
gmm,RP,8,0.012864977380647598
gmm,RP,9,0.012933287543129368
gmm,RP,10,0.009489270206519766
gmm,RP,11,0.005950549272886882
gmm,RP,12,-0.011558563532720905
gmm,RP,13,-0.013407772777880649
gmm,RP,14,-0.0162372278378807
gmm,RP,15,-0.013483566529652453
gmm,RP,16,-0.008000407150886506
gmm,RP,17,-0.013801867333075358
gmm,RP,18,-0.018970812806857664
gmm,RP,19,-0.022859176910881653
gmm,RP,20,-0.022865882790510866
gmm,RP,21,-0.03970532486208238
gmm,RP,22,-0.04292591335208965
gmm,RP,23,-0.03500663716038432
gmm,RP,24,-0.038999422925480774
gmm,RP,25,-0.0371168658477925
