model,dataset,n_features,ari,accuracy
mlp,PCA,3,,0.6664
mlp,PCA,2,,0.653
mlp,PCA,1,,0.633
kmeans,ICA,25,0.06429269310755238,
kmeans,ICA,24,0.053197823528106,
kmeans,ICA,23,0.09094128431119335,
kmeans,ICA,22,0.09094128431119335,
kmeans,ICA,21,0.09094128431119335,
kmeans,ICA,20,0.09094128431119335,
kmeans,ICA,19,0.09094128431119335,
kmeans,ICA,18,0.09094128431119335,
kmeans,ICA,17,0.09094128431119335,
kmeans,ICA,16,0.09094128431119335,
kmeans,ICA,15,0.09094128431119335,
kmeans,ICA,14,0.09094128431119335,
kmeans,ICA,13,0.09094128431119335,
kmeans,ICA,12,0.09094128431119335,
kmeans,ICA,11,0.11517470866755458,
kmeans,ICA,10,0.09094128431119335,
kmeans,ICA,9,0.09094128431119335,
kmeans,ICA,8,0.10361651499258814,
kmeans,ICA,7,0.09094128431119335,
kmeans,ICA,6,0.11517470866755458,
kmeans,ICA,5,0.09094128431119335,
kmeans,ICA,4,0.09094128431119335,
kmeans,ICA,3,0.09094128431119335,
kmeans,ICA,2,0.09094128431119335,
kmeans,ICA,1,0.09094128431119335,
gmm,ICA,25,0.10361651499258814,
gmm,ICA,24,0.10361651499258814,
gmm,ICA,23,0.09094128431119335,
gmm,ICA,22,0.10361651499258814,
gmm,ICA,21,0.10361651499258814,
gmm,ICA,20,0.10361651499258814,
gmm,ICA,19,0.10361651499258814,
gmm,ICA,18,0.10361651499258814,
gmm,ICA,17,0.10361651499258814,
gmm,ICA,16,0.10361651499258814,
gmm,ICA,15,0.053197823528106,
gmm,ICA,14,0.053197823528106,
gmm,ICA,13,0.053197823528106,
gmm,ICA,12,0.053197823528106,
gmm,ICA,11,0.10361651499258814,
gmm,ICA,10,0.053197823528106,
gmm,ICA,9,0.11517470866755458,
gmm,ICA,8,0.11517470866755458,
gmm,ICA,7,0.11517470866755458,
gmm,ICA,6,0.11517470866755458,
gmm,ICA,5,0.11517470866755458,
gmm,ICA,4,0.11517470866755458,
gmm,ICA,3,0.11517470866755458,
gmm,ICA,2,0.11517470866755458,
gmm,ICA,1,0.11517470866755458,
mlp,ICA,25,,0.7544
mlp,ICA,24,,0.7552
mlp,ICA,23,,0.752
mlp,ICA,22,,0.7524
mlp,ICA,21,,0.7488
mlp,ICA,20,,0.7432
mlp,ICA,19,,0.7434
mlp,ICA,18,,0.7432
mlp,ICA,17,,0.746
mlp,ICA,16,,0.7402
mlp,ICA,15,,0.7436
mlp,ICA,14,,0.7388
mlp,ICA,13,,0.7386
mlp,ICA,12,,0.7344
mlp,ICA,11,,0.733
mlp,ICA,10,,0.7336
mlp,ICA,9,,0.7306
mlp,ICA,8,,0.7276
mlp,ICA,7,,0.7274
mlp,ICA,6,,0.7236
mlp,ICA,5,,0.7214
mlp,ICA,4,,0.7116
mlp,ICA,3,,0.7044
mlp,ICA,2,,0.6868
mlp,ICA,1,,0.6772
kmeans,RP,25,0.02086340829560586,
kmeans,RP,24,0.024103401615600286,
kmeans,RP,23,0.0241584003332375,
kmeans,RP,22,0.02836040421127769,
kmeans,RP,21,0.029346306277126633,
kmeans,RP,20,0.05063045982037694,
kmeans,RP,19,0.051386894774712984,
kmeans,RP,18,0.053253408567839895,
kmeans,RP,17,0.05298608627313364,
kmeans,RP,16,0.05330944625342304,
kmeans,RP,15,0.05458070740164469,
kmeans,RP,14,0.054931710114335,
kmeans,RP,13,0.05610430152061543,
